biz_name,link,description,website
Boulder Creek Golf & Country Club,https://www.golfpass.com/courses/15522-boulder-creek-golf-country-club/,,https://www.golfpass.com/travel-advisor/xgo/15522
Road Runner Club,https://www.golfpass.com/courses/3619-road-runner-club/,,https://www.golfpass.com/travel-advisor/xgo/3619
Road Runner Club,https://www.golfpass.com/courses/14701-quail-creek-golf-club-coyote-road-runner-course/,,https://www.golfpass.com/travel-advisor/xgo/14701
Road Runner Club,https://www.golfpass.com/courses/28835-quail-creek-golf-club-road-runner-quail-course/,,https://www.golfpass.com/travel-advisor/xgo/28835
Rams Hill Country Club,,,
De Anza Desert Country Club,https://www.golfpass.com/courses/3620-de-anza-country-club/,Also known as De Anza Desert Country Club.,https://www.golfpass.com/travel-advisor/xgo/3620
Palms Course at Borrego Springs Resort & Country Club,,,
Feather River Park Resort,https://www.golfpass.com/courses/3616-feather-river-park-resort/,"Nestled in the heart of the High Sierras at an elevation of 4,300 feet, Feather River Park Resort's nine-hole golf course offers stunning views of meadows, canyons, and dozens of lakes that are scattered throughout the rustic countryside of the Mohawk Valley. Sand and grass bunkers complement the strategic mounding across the gently rolling landscape of the course, making ball placement a top priority in scoring well. This wooded golf course has pine trees lining its fairways and a water hazard coming into play. For avid golfers, Feather River Park Resort provides a challenging practice round for the two championship 18-hole courses that are nearby.",https://www.golfpass.com/travel-advisor/xgo/3616
Feather River Inn Golf Club & Resort,,,
Bodega Harbour Golf Links,,,
Bishop Country Club,https://www.golfpass.com/courses/3614-bishop-country-club/,,https://www.golfpass.com/travel-advisor/xgo/3614
Bishop Country Club,https://www.golfpass.com/courses/1723-bishop-s-bay-country-club/,,https://www.golfpass.com/travel-advisor/xgo/1723
Bishop Country Club,https://www.golfpass.com/courses/32490-benton-hall-golf-country-club-par-3-short-course/,Also known as Benton Hall Golf & Country Club - Bishops Course.,https://www.golfpass.com/travel-advisor/xgo/32490
Big Bear Mountain Golf Course,https://www.golfpass.com/courses/124-bear-mountain-golf-course/,,https://www.golfpass.com/travel-advisor/xgo/124
First Nine/Second Nine Course at Bermuda Dunes Country Club,,,
RECCE Point Golf Course,,,
Tees & Trees Golf Course,,,
1 Country Club Rd,,,
Sun Lakes Country Club Executive Course,https://www.golfpass.com/courses/3604-sun-lakes-country-club-executive-course/,,https://www.golfpass.com/travel-advisor/xgo/3604
Sun Lakes Country Club,https://www.golfpass.com/courses/20734-sun-lakes-country-club/,,
Sun Lakes Country Club,https://www.golfpass.com/courses/3603-sun-lakes-country-club/,,https://www.golfpass.com/travel-advisor/xgo/3603
Sun Lakes Country Club,https://www.golfpass.com/courses/3604-sun-lakes-country-club-executive-course/,,https://www.golfpass.com/travel-advisor/xgo/3604
Sun Lakes Country Club,https://www.golfpass.com/courses/42714-sun-lake-country-club/,,https://www.golfpass.com/travel-advisor/xgo/42714
Sun Lakes Country Club,https://www.golfpass.com/courses/2510-deer-run-at-sun-n-lake-golf-country-club/,,https://www.golfpass.com/travel-advisor/xgo/2510
Sun Lakes Country Club,https://www.golfpass.com/courses/2520-turtle-run-at-sun-n-lake-golf-country-club/,,https://www.golfpass.com/travel-advisor/xgo/2520
Sun Lakes Country Club,https://www.golfpass.com/courses/20860-lakes-golf-course-at-oakwood-country-club/,,https://www.golfpass.com/travel-advisor/xgo/20860
Sun Lakes Country Club,https://www.golfpass.com/courses/14791-cottonwood-country-club/,"The golf course at the Cottonwood Country Club is a traditional layout on a natural desert terrain. There is some desert landscaping that comes into play along the sides of the fairway. Water hazards and sand bunkers come into play on a few holes. The course's finishing hole is its signature; it is a par-4 hole that calls for an approach shot over a lake in order to reach the green. With four sets of tees, the course appeals to any skill level of golfer. Cottonwood Country Club also offers a driving range, chipping area, and putting green for its golfers.",https://www.golfpass.com/travel-advisor/xgo/14791
Sun Lakes Country Club,https://www.golfpass.com/courses/14792-palms-golf-course-at-oakwood-country-club/,,https://www.golfpass.com/travel-advisor/xgo/14792
Sun Lakes Country Club,https://www.golfpass.com/courses/20859-sonoran-golf-course-at-oakwood-country-club/,,https://www.golfpass.com/travel-advisor/xgo/20859
Sun Lakes Country Club,https://www.golfpass.com/courses/14793-palo-verde-golf-course/,,https://www.golfpass.com/travel-advisor/xgo/14793
Sundale Country Club,https://www.golfpass.com/courses/3599-sundale-country-club/,,https://www.golfpass.com/travel-advisor/xgo/3599
